Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,44.64,45.50,44.54,45.28,969200,45.16
2015-11-17,44.59,45.13,44.29,44.50,624200,44.38207
2015-11-16,44.33,44.61,43.96,44.39,572200,44.27236
2015-11-13,43.96,44.50,43.70,44.20,1041500,44.08286
2015-11-12,44.50,44.60,43.82,44.14,1756700,44.02302
2015-11-11,44.30,45.02,44.13,44.60,1062800,44.4818
2015-11-10,43.09,44.48,42.88,44.28,1150200,44.16265
2015-11-09,45.80,45.80,42.95,43.25,1580900,43.13538
2015-11-06,45.70,45.96,45.35,45.81,600300,45.6886
2015-11-05,45.74,45.86,45.23,45.75,841200,45.62875
2015-11-04,45.94,46.14,45.61,45.73,1010400,45.60881
2015-11-03,45.67,45.88,45.02,45.78,756100,45.65867
2015-11-02,45.65,46.02,45.59,45.76,1011100,45.63873
2015-10-30,46.27,46.62,45.68,45.68,2196800,45.55894
2015-10-29,46.39,46.80,45.90,46.63,705400,46.50642
2015-10-28,47.14,47.14,45.98,46.50,1451500,46.37677
2015-10-27,46.49,47.27,46.49,46.97,1328600,46.84552
2015-10-26,46.68,46.79,46.32,46.67,1077200,46.54631
2015-10-23,46.75,46.75,46.26,46.49,1320600,46.36679
2015-10-22,45.40,46.73,45.37,46.07,2138400,45.9479
2015-10-21,45.23,45.36,44.86,45.22,1134800,45.10016
2015-10-20,44.49,45.27,44.43,45.02,837300,44.90069
2015-10-19,43.95,44.66,43.90,44.48,908700,44.36212
2015-10-16,43.25,44.26,43.22,43.95,1096600,43.83352
2015-10-15,43.37,43.55,42.85,42.94,1004600,42.8262
2015-10-14,43.12,43.62,43.05,43.12,1197700,43.00572
2015-10-13,43.39,43.69,43.06,43.17,1006400,43.05559
2015-10-12,43.38,43.38,43.38,43.38,000,43.26504
2015-10-09,43.04,43.49,42.90,43.38,786700,43.26504
2015-10-08,42.70,43.29,42.56,43.05,1015700,42.93591
2015-10-07,42.71,42.77,42.15,42.73,666900,42.61676
2015-10-06,42.72,42.79,42.19,42.22,1363300,42.10811
2015-10-05,42.46,42.83,42.26,42.59,1068300,42.47713
2015-10-02,41.58,42.23,41.19,42.12,1098400,42.00837
2015-10-01,42.14,42.19,41.23,41.87,1574200,41.75904
2015-09-30,40.59,42.09,40.59,41.99,1927600,41.87872
2015-09-29,40.60,40.83,40.10,40.12,1202400,40.01367
2015-09-28,41.60,41.60,40.50,40.55,1231200,40.44253
2015-09-25,41.35,42.01,41.03,41.74,1392500,41.62938
2015-09-24,40.69,41.38,40.51,40.93,1203100,40.82153
2015-09-23,41.15,41.38,40.81,41.03,902600,40.92126
2015-09-22,41.00,41.25,40.73,40.99,1325600,40.88137
2015-09-21,41.00,41.81,40.80,41.60,1377900,41.48975
2015-09-18,40.13,40.93,39.92,40.83,9143200,40.72179
2015-09-17,40.75,41.08,40.45,40.72,1102400,40.61209
2015-09-16,40.82,41.13,40.78,40.79,1739300,40.6819
2015-09-15,40.52,40.93,40.32,40.87,1583800,40.76169
2015-09-14,40.95,41.12,40.47,40.50,1223700,40.39267
2015-09-11,40.78,41.13,40.60,40.87,998500,40.76169
2015-09-10,40.77,41.22,40.71,40.87,638100,40.76169
2015-09-09,41.48,41.98,40.81,40.92,1061700,40.81155
2015-09-08,41.04,41.44,40.73,41.19,1398200,41.08084
2015-09-07,40.65,40.65,40.65,40.65,000,40.54227
2015-09-04,41.00,41.08,40.26,40.65,900200,40.54227
2015-09-03,41.09,41.62,40.99,41.48,900000,41.37007
2015-09-02,40.87,41.16,40.36,41.16,1316300,41.05092
2015-09-01,40.72,40.86,39.92,40.69,1489200,40.58216
2015-08-31,42.45,42.84,41.05,41.41,1703400,41.30026
2015-08-28,42.02,42.36,41.80,42.34,920000,42.22779
2015-08-27,42.01,42.53,41.75,42.21,1367600,42.09813
2015-08-26,41.11,42.04,40.29,41.90,1939000,41.66928
2015-08-25,41.99,42.06,40.18,40.27,1788700,40.04825
2015-08-24,39.89,41.88,39.56,40.68,2055600,40.45599
2015-08-21,43.00,43.36,42.02,42.08,1472100,41.84829
2015-08-20,44.12,44.20,43.43,43.44,985900,43.20079
2015-08-19,45.17,45.17,44.36,44.60,1069100,44.35441
2015-08-18,45.10,45.23,44.59,45.10,867200,44.85165
2015-08-17,44.94,45.32,44.53,45.16,439800,44.91132
2015-08-14,45.16,45.65,45.01,45.19,646600,44.94116
2015-08-13,44.61,45.47,44.25,45.15,555200,44.90138
2015-08-12,44.59,44.76,43.91,44.66,1117100,44.41408
2015-08-11,44.95,45.21,44.75,44.98,982100,44.73231
2015-08-10,45.61,45.82,45.02,45.14,949600,44.89143
2015-08-07,45.70,45.71,44.76,45.37,633400,45.12017
2015-08-06,46.01,46.28,45.49,45.70,807600,45.44835
2015-08-05,46.27,46.34,45.83,46.06,798100,45.80637
2015-08-04,45.71,46.16,45.35,45.89,1004600,45.6373
2015-08-03,45.66,45.66,45.66,45.66,000,45.40857
