Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,37.880001,37.889999,37.450001,37.75,474900,37.75
2015-11-17,37.939999,38.09,37.380001,37.689999,607200,37.689999
2015-11-16,37.400002,37.830002,37.27,37.799999,735900,37.799999
2015-11-13,37.450001,37.689999,37.23,37.50,521800,37.125
2015-11-12,38.029999,38.09,37.299999,37.419998,673500,37.045799
2015-11-11,38.330002,38.450001,37.990002,38.040001,396100,37.659601
2015-11-10,37.990002,38.599998,37.810001,38.299999,966400,37.917
2015-11-09,37.84,38.110001,37.50,37.919998,577000,37.540799
2015-11-06,38.18,38.200001,37.25,37.599998,643800,37.223999
2015-11-05,38.07,38.18,37.849998,37.959999,431900,37.580399
2015-11-04,37.759998,38.02,37.66,37.959999,705700,37.580399
2015-11-03,37.860001,38.00,37.549999,37.740002,733700,37.362602
2015-11-02,38.060001,38.290001,37.610001,37.830002,674200,37.451702
2015-10-30,38.799999,38.98,37.68,37.849998,1471900,37.471499
2015-10-29,39.080002,39.080002,38.32,38.849998,501100,38.461499
2015-10-28,38.77,39.130001,38.689999,39.080002,438800,38.689202
2015-10-27,39.200001,39.349998,38.540001,38.759998,530700,38.372399
2015-10-26,39.52,39.650002,39.060001,39.32,581000,38.9268
2015-10-23,39.990002,39.990002,39.380001,39.439999,442700,39.045599
2015-10-22,39.389999,40.139999,39.389999,39.720001,802100,39.322802
2015-10-21,39.330002,39.330002,39.330002,39.330002,000,38.936702
2015-10-20,38.810001,39.650002,38.810001,39.57,575100,39.1743
2015-10-19,38.450001,39.009998,38.16,38.830002,652700,38.441702
2015-10-16,38.540001,39.07,38.41,38.450001,1874100,38.065501
2015-10-15,38.259998,38.740002,38.080002,38.25,864700,37.8675
2015-10-14,38.849998,39.049999,38.099998,38.209999,750300,37.827899
2015-10-13,38.98,39.200001,38.700001,38.91,843300,38.5209
2015-10-09,38.98,39.220001,38.52,38.830002,544700,38.441702
2015-10-08,38.779999,39.200001,38.490002,38.970001,684100,38.580302
2015-10-07,37.900002,39.040001,37.759998,38.57,1019900,38.1843
2015-10-06,38.48,38.48,37.32,37.43,595500,37.055701
2015-10-05,37.959999,38.57,37.810001,38.299999,678400,37.917
2015-10-02,37.34,37.790001,37.259998,37.630001,526200,37.253701
2015-10-01,38.080002,38.25,37.18,37.52,749100,37.144801
2015-09-30,36.549999,38.169998,36.549999,38.169998,902700,37.788299
2015-09-29,36.029999,36.50,36.00,36.299999,444400,35.937
2015-09-28,36.740002,36.799999,35.93,36.00,478700,35.64
2015-09-25,36.380001,36.869999,36.07,36.57,567000,36.2043
2015-09-24,36.369999,36.41,35.689999,35.970001,432800,35.610302
2015-09-23,36.540001,36.950001,36.400002,36.52,326600,36.154801
2015-09-22,36.349998,36.720001,36.259998,36.450001,501000,36.085501
2015-09-21,36.619999,37.400002,36.599998,36.82,849700,36.4518
2015-09-18,37.07,37.540001,36.490002,36.610001,2781900,36.243901
2015-09-17,36.490002,37.82,36.279999,37.66,678700,37.2834
2015-09-16,36.139999,36.720001,36.07,36.639999,1973100,36.2736
2015-09-15,35.080002,36.349998,35.080002,36.220001,913400,35.857802
2015-09-14,35.200001,35.50,34.970001,35.040001,785300,34.689601
2015-09-11,34.900002,35.290001,34.709999,35.220001,578700,34.867802
2015-09-10,34.91,35.529999,34.860001,34.93,499000,34.580701
2015-09-09,35.389999,35.720001,35.00,35.099998,528500,34.748999
2015-09-08,35.389999,35.68,35.119999,35.25,592300,34.8975
2015-09-04,34.77,35.080002,34.630001,34.939999,655800,34.590599
2015-09-03,34.380001,35.299999,34.200001,35.040001,817600,34.689601
2015-09-02,35.59,35.82,34.25,34.259998,981800,33.917399
2015-09-01,35.349998,35.740002,34.82,35.279999,1186400,34.927199
2015-08-31,37.290001,37.599998,35.66,35.689999,1707300,35.333099
2015-08-28,37.02,37.450001,36.630001,37.310001,865300,36.936902
2015-08-27,36.759998,37.700001,36.00,37.59,895400,37.214101
2015-08-26,35.75,36.299999,34.560001,36.200001,783000,35.838001
2015-08-25,35.799999,35.939999,35.009998,35.119999,854700,34.768799
2015-08-24,34.16,36.290001,34.16,34.830002,1138600,34.481702
2015-08-21,36.880001,37.419998,36.310001,36.310001,804100,35.946902
2015-08-20,38.259998,38.349998,37.209999,37.25,584900,36.8775
