Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,15.45,15.92,15.14,15.83,2745300,15.83
2015-11-17,15.94,15.94,15.05,15.22,3208400,15.22
2015-11-16,16.17,16.360001,15.92,16.059999,2097500,16.032999
2015-11-13,15.80,16.23,15.71,16.00,2012500,15.973101
2015-11-12,15.40,16.08,15.24,15.70,2929300,15.673605
2015-11-11,15.51,15.77,15.42,15.77,1787300,15.743488
2015-11-10,15.56,15.71,15.44,15.49,3476200,15.463958
2015-11-09,15.35,15.90,15.28,15.83,3078900,15.803386
2015-11-06,15.60,15.65,15.19,15.34,4789600,15.31421
2015-11-05,16.450001,16.50,15.98,16.02,4375400,15.993067
2015-11-04,16.99,17.09,16.42,16.469999,3145000,16.44231
2015-11-03,16.549999,16.85,16.440001,16.709999,3079400,16.681906
2015-11-02,16.60,16.889999,16.32,16.709999,2821600,16.681906
2015-10-30,17.309999,17.620001,16.73,16.73,7241600,16.701873
2015-10-29,19.00,19.059999,17.040001,17.32,6841300,17.290881
2015-10-28,20.26,20.540001,19.16,19.280001,3285800,19.247587
2015-10-27,19.610001,20.09,19.540001,19.93,1865100,19.896494
2015-10-26,20.530001,20.530001,19.66,19.66,2453900,19.626947
2015-10-23,20.200001,20.620001,19.75,20.48,3572600,20.445568
2015-10-22,19.620001,20.299999,19.60,19.91,2623500,19.876527
2015-10-21,19.719999,19.719999,19.719999,19.719999,000,19.686846
2015-10-20,19.309999,20.17,19.290001,20.02,1970500,19.986343
2015-10-19,19.68,19.950001,19.26,19.280001,3123600,19.247587
2015-10-16,20.00,20.32,19.77,19.77,2690200,19.736763
2015-10-15,19.76,20.17,19.66,20.08,3851400,20.046241
2015-10-14,18.82,20.08,18.82,20.059999,4172100,20.026274
2015-10-13,18.42,18.709999,18.049999,18.440001,2941200,18.408999
2015-10-09,18.35,18.75,18.08,18.75,3173000,18.692521
2015-10-08,17.809999,18.389999,17.66,17.68,2426200,17.625802
2015-10-07,17.959999,18.200001,17.549999,18.049999,2472200,17.994666
2015-10-06,17.790001,18.129999,17.41,17.91,2908900,17.855096
2015-10-05,17.15,17.73,17.09,17.389999,2576100,17.33669
2015-10-02,16.700001,17.139999,16.59,17.110001,3633300,17.057549
2015-10-01,16.799999,16.860001,16.02,16.09,2400800,16.040676
2015-09-30,16.17,16.73,15.99,16.73,3591000,16.678713
2015-09-29,16.68,16.93,16.17,16.370001,2586800,16.319818
2015-09-28,17.379999,17.42,16.60,16.60,2692200,16.549113
2015-09-25,17.629999,18.02,17.549999,17.780001,2612400,17.725496
2015-09-24,17.209999,17.99,17.110001,17.969999,3003800,17.914912
2015-09-23,17.18,17.25,16.67,16.74,1431900,16.688683
2015-09-22,17.09,17.219999,16.719999,16.85,1435600,16.798346
2015-09-21,17.67,17.889999,17.51,17.59,1413900,17.536078
2015-09-18,18.110001,18.370001,17.549999,17.85,6847400,17.795281
2015-09-17,17.450001,17.93,17.10,17.809999,2671200,17.755402
2015-09-16,17.00,17.639999,16.98,17.57,2484900,17.516138
2015-09-15,16.52,17.059999,16.48,16.639999,1517900,16.588989
2015-09-14,16.65,17.219999,16.469999,16.780001,1723000,16.701644
2015-09-11,16.60,16.90,16.209999,16.76,2103400,16.681737
2015-09-10,17.129999,17.209999,16.65,16.790001,1468500,16.711597
2015-09-09,17.280001,17.32,16.690001,16.82,2502600,16.741456
2015-09-08,17.709999,17.85,17.389999,17.530001,1570700,17.448141
2015-09-04,17.50,17.780001,17.25,17.700001,1554900,17.617348
2015-09-03,17.93,18.60,17.559999,17.58,2370300,17.497907
2015-09-02,18.120001,18.629999,17.99,18.23,1894900,18.144872
2015-09-01,18.40,18.83,18.110001,18.190001,2811900,18.105059
2015-08-31,18.110001,18.25,17.690001,18.25,4965500,18.164779
2015-08-28,18.290001,18.82,17.950001,18.469999,3237200,18.383751
2015-08-27,17.360001,18.120001,17.25,18.08,3691300,17.995572
2015-08-26,17.91,17.98,17.059999,17.459999,4650900,17.378467
2015-08-25,19.02,19.120001,17.959999,18.440001,3010100,18.353892
2015-08-24,20.00,20.84,18.719999,18.75,4761300,18.662444
2015-08-21,20.639999,20.860001,20.25,20.41,3400300,20.314692
2015-08-20,20.549999,20.82,20.219999,20.26,3079900,20.165393
2015-08-19,19.540001,20.110001,19.51,19.85,4618800,19.757308
2015-08-18,19.120001,19.549999,18.98,19.290001,2545800,19.199923
2015-08-17,19.059999,19.52,18.889999,19.48,2075800,19.363156
2015-08-14,19.200001,19.33,18.58,18.68,1772200,18.567955
2015-08-13,19.459999,19.60,18.83,18.889999,2487900,18.776695
2015-08-12,19.34,19.969999,19.26,19.780001,3817800,19.661358
2015-08-11,18.98,19.049999,18.26,18.99,3277700,18.876095
2015-08-10,17.77,18.709999,17.49,18.66,3011200,18.548075
