Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,27.24,27.32,26.89,27.27,1003500,26.97482
2015-11-17,27.00,27.28,26.76,27.21,1160700,26.91547
2015-11-16,26.52,26.97,26.44,26.95,1020100,26.65829
2015-11-13,26.58,26.78,26.36,26.47,685300,26.18348
2015-11-12,27.07,27.07,26.53,26.66,3565300,26.37142
2015-11-11,27.04,27.39,26.95,27.20,552000,26.90558
2015-11-10,26.84,27.13,26.66,27.05,1153000,26.65952
2015-11-09,27.35,27.37,26.86,26.98,1708600,26.49321
2015-11-06,27.54,27.66,27.30,27.36,1400400,26.86635
2015-11-05,27.31,27.52,27.25,27.49,645500,26.99401
2015-11-04,27.71,27.94,27.17,27.29,1263100,26.79762
2015-11-03,27.10,27.56,27.00,27.49,1192800,26.99401
2015-11-02,27.19,27.25,27.00,27.14,756700,26.65032
2015-10-30,27.75,27.81,27.00,27.15,4159000,26.66014
2015-10-29,26.37,27.93,26.33,27.81,2864400,27.30823
2015-10-28,25.90,26.40,25.62,26.37,1606700,25.89422
2015-10-27,25.98,26.10,25.66,25.79,1208000,25.32468
2015-10-26,26.16,26.29,26.00,26.08,854600,25.60945
2015-10-23,26.50,26.50,25.98,26.11,1584700,25.63891
2015-10-22,27.07,27.21,26.39,26.44,1795500,25.96295
2015-10-21,26.96,27.28,26.94,27.02,815400,26.53249
2015-10-20,26.57,26.88,26.33,26.84,699300,26.35573
2015-10-19,26.29,26.49,26.28,26.33,562000,25.85494
2015-10-16,26.44,26.50,26.29,26.32,400800,25.84512
2015-10-15,26.55,26.64,26.14,26.30,1051200,25.82548
2015-10-14,26.45,26.64,26.35,26.49,826200,26.01205
2015-10-13,26.17,26.65,26.05,26.47,800300,25.99241
2015-10-12,26.27,26.27,26.27,26.27,000,25.69905
2015-10-09,26.54,26.54,26.22,26.27,752300,25.69905
2015-10-08,26.23,26.50,26.09,26.48,570200,25.90448
2015-10-07,26.16,26.40,26.09,26.26,980100,25.68927
2015-10-06,26.04,26.105,25.92,26.08,607500,25.51318
2015-10-05,26.00,26.23,25.96,26.00,672300,25.43492
2015-10-02,25.47,25.88,25.41,25.85,881000,25.28818
2015-10-01,25.91,25.95,25.38,25.56,842600,25.00448
2015-09-30,25.67,25.88,25.58,25.84,758400,25.2784
2015-09-29,25.25,25.76,25.25,25.58,942200,25.02405
2015-09-28,25.61,25.70,25.23,25.25,835500,24.70122
2015-09-25,25.80,25.84,25.59,25.67,801300,25.11209
2015-09-24,25.62,25.72,25.40,25.61,760400,25.05339
2015-09-23,25.67,25.825,25.59,25.77,664500,25.20992
2015-09-22,25.75,25.81,25.45,25.64,853300,25.08274
2015-09-21,26.00,26.01,25.755,25.93,702000,25.36644
2015-09-18,25.47,25.93,25.46,25.93,4732000,25.36644
2015-09-17,25.93,26.00,25.70,25.89,709600,25.32731
2015-09-16,25.76,26.05,25.62,25.98,1691900,25.41535
2015-09-15,25.78,25.78,25.33,25.68,1053400,25.12187
2015-09-14,25.86,25.99,25.44,25.59,668600,25.03383
2015-09-11,26.16,26.27,25.80,25.89,396200,25.32731
2015-09-10,26.20,26.46,26.20,26.29,487600,25.62201
