Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,16.219999,16.969999,16.200001,16.879999,868300,16.879999
2015-11-17,16.620001,16.620001,15.88,16.09,814500,16.09
2015-11-16,16.610001,16.950001,16.549999,16.700001,564200,16.700001
2015-11-13,16.389999,16.65,16.290001,16.51,594800,16.443001
2015-11-12,16.379999,16.870001,16.219999,16.40,1070300,16.333446
2015-11-11,16.530001,16.59,16.120001,16.379999,816600,16.313527
2015-11-10,16.559999,16.860001,16.459999,16.530001,855400,16.46292
2015-11-09,16.67,16.92,16.280001,16.870001,1177700,16.80154
2015-11-06,16.700001,16.879999,16.35,16.67,1338400,16.602351
2015-11-05,18.209999,18.209999,16.709999,17.08,2003600,17.010687
2015-11-04,18.290001,19.030001,17.76,17.940001,3356300,17.867198
2015-11-03,17.799999,17.99,17.59,17.85,742500,17.777563
2015-11-02,17.620001,18.23,17.32,17.98,809500,17.907034
2015-10-30,18.10,18.35,17.76,17.77,1464300,17.697888
2015-10-29,18.950001,19.139999,17.90,18.110001,1147800,18.036508
2015-10-28,19.530001,20.200001,18.90,19.280001,2216500,19.20176
2015-10-27,18.75,19.35,18.629999,19.23,1270600,19.151962
2015-10-26,19.030001,19.110001,18.700001,18.799999,1554200,18.723707
2015-10-23,18.379999,19.059999,18.280001,18.969999,1911900,18.893017
2015-10-22,17.77,18.34,17.719999,18.200001,1363400,18.126143
2015-10-21,17.790001,17.790001,17.790001,17.790001,000,17.717807
2015-10-20,17.92,18.40,17.809999,18.200001,1590500,18.126143
2015-10-19,18.389999,18.49,17.690001,17.780001,1597600,17.707847
2015-10-16,18.91,19.200001,18.43,18.459999,1350800,18.385086
2015-10-15,18.870001,19.209999,18.620001,19.09,1322500,19.012531
2015-10-14,18.280001,19.10,18.200001,19.059999,1816600,18.982652
2015-10-13,18.23,18.280001,17.639999,17.799999,1966200,17.727765
2015-10-09,19.00,19.07,18.389999,18.68,1521300,18.604195
2015-10-08,18.440001,19.10,18.26,18.469999,2127100,18.395046
2015-10-07,18.940001,19.030001,18.129999,18.860001,2992000,18.783464
2015-10-06,18.16,19.02,18.07,18.85,2405900,18.773505
2015-10-05,16.940001,17.98,16.85,17.75,1717500,17.677968
2015-10-02,15.69,16.85,15.59,16.809999,1806200,16.741782
2015-10-01,16.110001,16.25,15.20,15.27,1541800,15.208033
2015-09-30,15.67,16.219999,15.59,16.040001,1583200,15.974909
2015-09-29,15.95,16.309999,15.76,15.87,1227600,15.805597
2015-09-28,16.200001,16.200001,15.75,15.79,2086700,15.725922
2015-09-25,16.42,16.74,16.309999,16.57,1549900,16.502757
2015-09-24,15.75,16.719999,15.67,16.66,1349600,16.592392
2015-09-23,15.84,15.92,15.39,15.43,551100,15.367383
2015-09-22,15.80,15.97,15.55,15.61,1163300,15.546652
2015-09-21,16.25,16.49,16.10,16.15,827900,16.084461
2015-09-18,16.76,16.77,16.07,16.35,3127700,16.28365
2015-09-17,16.18,16.67,15.91,16.48,1335900,16.413122
2015-09-16,15.55,16.389999,15.51,16.26,3321100,16.194015
2015-09-15,14.91,15.58,14.88,15.22,1632800,15.158236
2015-09-14,15.05,15.08,14.62,14.76,1484900,14.700102
2015-09-11,14.90,15.47,14.67,15.42,808300,15.357424
2015-09-10,15.26,15.71,14.97,15.08,1160900,15.018803
2015-09-09,15.26,15.61,14.97,15.09,785900,15.028763
2015-09-08,15.21,15.69,15.16,15.41,713600,15.347464
2015-09-04,15.11,15.19,14.84,15.14,726800,15.07856
2015-09-03,15.29,16.10,15.20,15.28,1013700,15.217992
2015-09-02,15.63,15.73,14.97,15.49,1614100,15.427139
2015-09-01,16.23,16.42,15.60,15.63,1176300,15.566572
2015-08-31,16.280001,16.280001,15.52,16.129999,1619800,16.064542
2015-08-28,15.91,16.719999,15.91,16.379999,1130200,16.313527
2015-08-27,15.30,16.15,15.13,15.87,1475500,15.805597
